               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.020391,           0.0047404,                   0,             0.86384,                   1,              0.9775,             0.64966,             0.02013,           0.0026114,                   0,           0.0096959,           0.0096959,           0.0096959
                 131,            0.020861,           0.0086148,                   0,             0.98814,                   1,               0.995,             0.83871,             0.01647,           0.0025384,                   0,           0.0096936,           0.0096936,           0.0096936
                 132,            0.017945,           0.0047626,                   0,                   1,             0.97882,               0.995,             0.70438,            0.022415,           0.0025981,                   0,           0.0096912,           0.0096912,           0.0096912
                 133,            0.020507,           0.0063172,                   0,                   1,             0.99913,               0.995,             0.80998,            0.015604,           0.0023237,                   0,           0.0096889,           0.0096889,           0.0096889
                 134,            0.021943,           0.0065819,                   0,             0.98722,                   1,               0.995,             0.77875,            0.019209,           0.0027858,                   0,           0.0096865,           0.0096865,           0.0096865
                 135,            0.023895,            0.008418,                   0,             0.97496,                   1,               0.995,             0.70498,            0.019201,           0.0026956,                   0,           0.0096841,           0.0096841,           0.0096841
                 136,            0.023248,           0.0057534,                   0,             0.96529,                   1,               0.995,             0.66298,            0.023443,           0.0027806,                   0,           0.0096818,           0.0096818,           0.0096818
                 137,            0.019193,           0.0048193,                   0,             0.97689,                   1,               0.995,             0.74738,            0.019556,           0.0024905,                   0,           0.0096794,           0.0096794,           0.0096794
                 138,            0.020441,           0.0063801,                   0,             0.97847,                   1,               0.995,             0.73413,            0.018653,           0.0023745,                   0,           0.0096771,           0.0096771,           0.0096771
                 139,            0.017494,           0.0055584,                   0,             0.97361,                   1,               0.995,             0.79978,            0.016007,           0.0024031,                   0,           0.0096747,           0.0096747,           0.0096747
                 140,            0.016939,           0.0046574,                   0,             0.86199,                   1,              0.9775,             0.78465,            0.016393,           0.0025908,                   0,           0.0096724,           0.0096724,           0.0096724
                 141,            0.017626,           0.0046025,                   0,              0.8736,              0.9888,              0.9775,             0.77227,            0.022112,           0.0031376,                   0,             0.00967,             0.00967,             0.00967
                 142,            0.019907,           0.0056845,                   0,                   1,             0.68334,             0.85991,              0.7024,            0.019028,           0.0047134,                   0,           0.0096676,           0.0096676,           0.0096676
                 143,            0.020469,           0.0050094,                   0,             0.96648,             0.71429,             0.82195,             0.63787,            0.024426,           0.0052236,                   0,           0.0096653,           0.0096653,           0.0096653
                 144,             0.02153,           0.0054717,                   0,                   1,             0.85338,             0.87349,              0.6035,            0.023727,           0.0049737,                   0,           0.0096629,           0.0096629,           0.0096629
                 145,               0.021,           0.0073875,                   0,                   1,             0.81463,               0.953,             0.76704,            0.016523,            0.003254,                   0,           0.0096606,           0.0096606,           0.0096606
                 146,              0.0172,           0.0069218,                   0,             0.86061,                   1,               0.995,             0.81795,             0.01733,           0.0031727,                   0,           0.0096582,           0.0096582,           0.0096582
                 147,             0.01928,           0.0044399,                   0,             0.86222,                   1,               0.995,             0.77472,            0.020447,           0.0031694,                   0,           0.0096559,           0.0096559,           0.0096559
                 148,            0.020958,           0.0050889,                   0,             0.96792,                   1,               0.995,             0.82418,            0.017094,           0.0026972,                   0,           0.0096535,           0.0096535,           0.0096535
                 149,            0.021093,           0.0070637,                   0,                   1,             0.99857,               0.995,             0.72343,            0.020005,           0.0028821,                   0,           0.0096511,           0.0096511,           0.0096511
                 150,            0.017939,           0.0051794,                   0,             0.85649,                   1,              0.9775,             0.76002,            0.020025,           0.0027145,                   0,           0.0096488,           0.0096488,           0.0096488
                 151,            0.018554,           0.0050035,                   0,             0.96804,                   1,               0.995,             0.74053,            0.018507,           0.0026589,                   0,           0.0096464,           0.0096464,           0.0096464
                 152,            0.020329,           0.0055795,                   0,                   1,             0.96378,               0.995,             0.71257,            0.022543,            0.002939,                   0,           0.0096441,           0.0096441,           0.0096441
